layer,site,order,anchor,anchor_side,exp_dim,group_size,ppl,ppl_repeats,n_evals,diverged,accepted,is_seed,delta_vs_incumbent,wall_s,apply_ms,assignment_hash,paired_ci_low,paired_ci_high
15,attention,1,1,max,10,256,4.4938661189077616,4.4938661189077616,1,False,False,False,-0.0153683762629786,25.95960669289343,4.555074963718653,f409aaf5a614099f,-0.03568269818809355,-0.006441041035548434
15,attention,2,3,max,10,256,4.479770823451809,4.479770823451809,1,False,False,False,-0.0012730808070262611,25.92467624391429,4.9794260412454605,bb1bb29cfc89735d,-0.002578575104998926,-0.00040800184207867574
16,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
16,attention,1,1,max,10,256,4.483047763246892,4.483047763246892,1,False,False,False,-0.004550020602109406,25.962356452131644,4.5628598891198635,4e1fbd048d3223ce,-0.0256656434035758,0.012084821457425399
16,attention,2,3,max,10,256,4.4792787415613535,4.4792787415613535,1,False,False,False,-0.0007809989165705744,25.957881598034874,5.17483102157712,e6d2cfd82313584c,-0.004151095465601884,0.0017676171921472417
17,attention,0,2,max,10,256,4.478497742644783,4.478497742644783,0,False,True,True,0.0,0.0,0.0,9e66d31668cf5802,,
17,attention,1,1,max,10,256,4.488856135779322,4.488856135779322,1,False,False,False,-0.010358393134539234,25.943410070845857,4.598064115270972,e8b19068bac2d1cb,-0.018854821110765307,-0.004500234607623277
17,attention,2,3,max,10,256,4.476033903848766,4.476033903848766,1,False,True,False,0.0024638387960171926,25.91558599891141,5.1580690778791904,7bcf7491a2f3410d,0.0006522847733618775,0.005192341979671333
18,attention,0,2,max,10,256,4.476033903848766,4.476033903848766,0,False,True,True,0.0,0.0,0.0,7bcf7491a2f3410d,,
18,attention,1,1,max,10,256,4.4803813951943505,4.4803813951943505,1,False,False,False,-0.004347491345584764,25.949551899917424,4.560437984764576,1f19a775582368ee,-0.010149837823492547,0.0011281341017408408
18,attention,2,3,max,10,256,4.475591050355914,4.475591050355914,1,False,False,False,0.00044285349285200226,25.973718996858224,5.231696180999279,6ee90895a3c2ed8b,-0.00020363256618605163,0.0008513750827883193
19,attention,0,2,max,10,256,4.476033903848766,4.476033903848766,0,False,True,True,0.0,0.0,0.0,7bcf7491a2f3410d,,
19,attention,1,1,max,10,256,4.481036654062827,4.481036654062827,1,False,False,False,-0.005002750214060825,25.938526791986078,5.608248058706522,72d30b1bda2d1167,-0.014244114076618963,0.0019399947354052927
19,attention,2,3,max,10,256,4.47681407284157,4.47681407284157,1,False,False,False,-0.0007801689928044198,25.939101464115083,5.5673690512776375,87f1e6ef29aed050,-0.004818510545891996,0.002276385276981152
20,attention,0,2,max,10,256,4.476033903848766,4.476033903848766,0,False,True,True,0.0,0.0,0.0,7bcf7491a2f3410d,,
20,attention,1,1,max,10,256,4.484653584885427,4.484653584885427,1,False,False,False,-0.00861968103666122,25.944657696178183,4.561151843518019,aaed5cd481af3f06,-0.017991037541605692,-0.0027518330320379647
20,attention,2,3,max,10,256,4.476296301875792,4.476296301875792,1,False,False,False,-0.0002623980270266557,25.938303080853075,4.884729161858559,350faf067e809b70,-0.001738397247942558,0.0012248197030668706
21,attention,0,2,max,10,256,4.476033903848766,4.476033903848766,0,False,True,True,0.0,0.0,0.0,7bcf7491a2f3410d,,
21,attention,1,1,max,10,256,4.480275510509342,4.480275510509342,1,False,False,False,-0.00424160666057638,25.9402016189415,4.5822488609701395,60ed6b3ef9e3117c,-0.01094364448855245,0.0009980009023937697
21,attention,2,3,max,10,256,4.47686717410009,4.47686717410009,1,False,False,False,-0.0008332702513245138,25.930174335837364,5.245190113782883,ea368e8c16121c42,-0.00138833127217719,-0.00015534696413421756
22,attention,0,2,max,10,256,4.476033903848766,4.476033903848766,0,False,True,True,0.0,0.0,0.0,7bcf7491a2f3410d,,
22,attention,1,1,max,10,256,4.484567379469674,4.484567379469674,1,False,False,False,-0.008533475620907893,25.954596494091675,4.565434064716101,65aa85e71e551048,-0.014414680346336972,-0.0032824581421211363
22,attention,2,3,max,10,256,4.473711545005852,4.473711545005852,1,False,False,False,0.002322358842913985,25.957101297099143,5.003771046176553,a24cca42d5664a43,-2.5815865710043795e-05,0.005247304041566814
23,attention,0,2,max,10,256,4.476033903848766,4.476033903848766,0,False,True,True,0.0,0.0,0.0,7bcf7491a2f3410d,,
23,attention,1,1,max,10,256,4.483764612637967,4.483764612637967,1,False,False,False,-0.007730708789201124,25.927538112038746,5.224470980465412,ec404a44d9f40f6e,-0.015354748045586675,-0.0027329257315789057
23,attention,2,3,max,10,256,4.47485136932739,4.47485136932739,1,False,True,False,0.0011825345213756222,25.95056050689891,5.2336640655994415,cbc4b50adad21bde,0.00034062577158078255,0.0021696388196277283
24,attention,0,2,max,10,256,4.47485136932739,4.47485136932739,0,False,True,True,0.0,0.0,0.0,cbc4b50adad21bde,,
24,attention,1,1,max,10,256,4.476266152667564,4.476266152667564,1,False,False,False,-0.001414783340173642,25.922298376914114,5.202442174777389,ce3979a2543010fb,-0.003982219139163412,0.0019467525758400939
24,attention,2,3,max,10,256,4.474903247042765,4.474903247042765,1,False,False,False,-5.1877715375070466e-05,25.971916381968185,5.621494026854634,b5ef58cc5aac40b4,-0.0010514867108168957,0.0003153068680523674
25,attention,0,2,max,10,256,4.47485136932739,4.47485136932739,0,False,True,True,0.0,0.0,0.0,cbc4b50adad21bde,,
25,attention,1,1,max,10,256,4.481585158173057,4.481585158173057,1,False,False,False,-0.006733788845666666,25.935149912023917,5.293932976201177,4fec6b011215df7a,-0.01218847499418807,-0.002966467544770257
25,attention,2,3,max,10,256,4.474703607819853,4.474703607819853,1,False,False,False,0.00014776150753714745,25.961839714087546,5.286390893161297,da9f15f6918bba10,-0.0010613091029663124,0.0010537219278186072
26,attention,0,2,max,10,256,4.47485136932739,4.47485136932739,0,False,True,True,0.0,0.0,0.0,cbc4b50adad21bde,,
26,attention,1,1,max,10,256,4.477577430624936,4.477577430624936,1,False,False,False,-0.002726061297545712,25.945067550055683,5.204194923862815,d9043ee98ddfae61,-0.00511707835153441,-0.0017003819397718445
26,attention,2,3,max,10,256,4.473619283677554,4.473619283677554,1,False,False,False,0.0012320856498364563,25.91501222597435,5.810913164168596,756e40dc90090df5,-0.0009909890627293194,0.004359737154691068
27,attention,0,2,max,10,256,4.47485136932739,4.47485136932739,0,False,True,True,0.0,0.0,0.0,cbc4b50adad21bde,,
27,attention,1,1,max,10,256,4.479373122042408,4.479373122042408,1,False,False,False,-0.004521752715017868,25.939887403976172,4.8654209822416306,b43be4d73bfa523b,-0.009413471941809526,-0.0007541044640175798
27,attention,2,3,max,10,256,4.474438636181626,4.474438636181626,1,False,False,False,0.000412733145764399,25.952846637926996,4.587125964462757,e13ed13ccdca0f5e,-0.0004402158940317591,0.0014984912137148143
28,attention,0,2,max,10,256,4.47485136932739,4.47485136932739,0,False,True,True,0.0,0.0,0.0,cbc4b50adad21bde,,
28,attention,1,1,max,10,256,4.478071594381097,4.478071594381097,1,False,False,False,-0.0032202250537070043,25.956839417107403,5.235411925241351,71628de23939ff9a,-0.011438395071968976,0.0021867201017018445
28,attention,2,3,max,10,256,4.476131684335347,4.476131684335347,1,False,False,False,-0.0012803150079570003,25.93427218007855,5.161046981811523,2ae32d1fb03c1e96,-0.0020005468944397364,-0.0006750872132874619
29,attention,0,2,max,10,256,4.47485136932739,4.47485136932739,0,False,True,True,0.0,0.0,0.0,cbc4b50adad21bde,,
29,attention,1,1,max,10,256,4.482798329213106,4.482798329213106,1,False,False,False,-0.007946959885716254,25.94259228790179,5.0047761760652065,c128646e67499ed8,-0.01307641979077534,-0.004340187409622942
29,attention,2,3,max,10,256,4.473948873349555,4.473948873349555,1,False,True,False,0.0009024959778347608,25.93673044303432,4.88772289827466,f0611a669c8bebc7,0.000358025611921331,0.0016947445017887475
30,attention,0,2,max,10,256,4.473948873349555,4.473948873349555,0,False,True,True,0.0,0.0,0.0,f0611a669c8bebc7,,
30,attention,1,1,max,10,256,4.480402492315801,4.480402492315801,1,False,False,False,-0.006453618966245855,25.92770825396292,5.005095154047012,00089de822dd983e,-0.01289503789663371,-0.0020640007781129732
30,attention,2,3,max,10,256,4.473110547290685,4.473110547290685,1,False,False,False,0.0008383260588704644,25.921927587827668,4.50566504150629,5e018cc8e164cd02,-0.00018518904838416006,0.001835550446036116
31,attention,0,2,max,10,256,4.473948873349555,4.473948873349555,0,False,True,True,0.0,0.0,0.0,f0611a669c8bebc7,,
31,attention,1,1,max,10,256,4.479893919126505,4.479893919126505,1,False,False,False,-0.0059450457769498755,26.025724477134645,4.630467155948281,32a659de285ae232,-0.011052249087689425,-0.002331781190184401
31,attention,2,3,max,10,256,4.475443264423792,4.475443264423792,1,False,False,False,-0.001494391074236212,25.91901966999285,4.483297001570463,f4d9ecd4b2a38962,-0.0038432204154634775,-0.0003208114485033775
